Area,ISO 3 code,Year,Demand,Net Imports,Total Generation,Clean,Nuclear,Wind and Solar,Wind,Solar,"Hydro, Bioenergy and Other Renewables",Hydro,Bioenergy,Other Renewables,Fossil,Coal,Gas and Other Fossil,Gas,Other Fossil
Luxembourg,LUX,2024,6.75,5.25,1.5,1.36,0.0,0.81,0.45,0.36,0.55,0.11,0.44,0.0,0.14,0.0,0.14,0.07,0.07
Netherlands,NLD,2000,106.97,18.91,88.06,6.9,3.93,0.84,0.83,0.01,2.13,0.14,1.99,0.0,81.16,24.28,56.88,51.52,5.36
Netherlands,NLD,2001,109.42,17.28,92.14,7.29,3.98,0.84,0.83,0.01,2.47,0.12,2.35,0.0,84.85,25.48,59.37,53.77,5.6
Netherlands,NLD,2002,111.02,16.38,94.64,7.89,3.91,0.97,0.95,0.02,3.01,0.11,2.9,0.0,86.75,25.99,60.76,55.28,5.48
Netherlands,NLD,2003,112.46,16.99,95.47,7.98,4.02,1.35,1.32,0.03,2.61,0.07,2.54,0.0,87.49,26.57,60.92,55.02,5.9
Netherlands,NLD,2004,116.04,16.22,99.82,9.12,3.82,1.9,1.87,0.03,3.4,0.09,3.31,0.0,90.7,24.95,65.75,59.99,5.76
Netherlands,NLD,2005,116.82,18.29,98.53,11.46,4.0,2.11,2.07,0.04,5.35,0.09,5.26,0.0,87.07,23.5,63.57,57.6,5.97
Netherlands,NLD,2006,118.98,21.46,97.52,11.53,3.47,2.78,2.74,0.04,5.28,0.11,5.17,0.0,85.99,23.74,62.25,57.14,5.11
Netherlands,NLD,2007,121.29,17.61,103.68,11.79,4.2,3.48,3.44,0.04,4.11,0.11,4.0,0.0,91.89,24.92,66.97,61.01,5.96
Netherlands,NLD,2008,122.06,15.85,106.21,13.7,4.17,4.3,4.26,0.04,5.23,0.1,5.13,0.0,92.51,23.48,69.03,63.36,5.67
Netherlands,NLD,2009,117.24,4.89,112.35,15.08,4.25,4.62,4.58,0.04,6.21,0.1,6.11,0.0,97.27,24.28,72.99,68.87,4.12
Netherlands,NLD,2010,120.88,2.78,118.1,15.16,3.97,4.05,3.99,0.06,7.14,0.1,7.04,0.0,102.94,22.59,80.35,75.33,5.02
Netherlands,NLD,2011,121.73,9.09,112.64,16.46,4.14,5.2,5.1,0.1,7.12,0.06,7.06,0.0,96.18,21.39,74.79,69.47,5.32
Netherlands,NLD,2012,119.38,17.11,102.27,16.38,3.91,5.17,4.98,0.19,7.3,0.1,7.2,0.0,85.89,24.21,61.68,56.56,5.12
Netherlands,NLD,2013,118.8,18.24,100.56,14.99,2.89,6.04,5.63,0.41,6.06,0.11,5.95,0.0,85.57,24.61,60.96,56.07,4.89
Netherlands,NLD,2014,116.83,14.73,102.1,15.74,4.09,6.53,5.8,0.73,5.12,0.11,5.01,0.0,86.36,29.49,56.87,51.52,5.35
Netherlands,NLD,2015,117.74,8.75,108.99,17.77,4.08,8.66,7.55,1.11,5.03,0.09,4.94,0.0,91.22,39.39,51.83,45.81,6.02
Netherlands,NLD,2016,118.87,4.91,113.96,18.74,3.96,9.77,8.17,1.6,5.01,0.1,4.91,0.0,95.22,36.82,58.4,52.53,5.87
Netherlands,NLD,2017,119.55,3.51,116.04,20.83,3.4,12.77,10.57,2.2,4.66,0.06,4.6,0.0,95.21,31.38,63.83,57.73,6.1
Netherlands,NLD,2018,121.07,7.97,113.1,22.39,3.51,14.26,10.55,3.71,4.62,0.07,4.55,0.0,90.71,27.58,63.13,57.63,5.5
Netherlands,NLD,2019,120.91,0.86,120.05,26.71,3.91,16.91,11.51,5.4,5.89,0.07,5.82,0.0,93.34,17.69,75.65,70.72,4.93
Netherlands,NLD,2020,119.3,-2.66,121.96,36.82,4.09,23.84,15.27,8.57,8.89,0.05,8.84,0.0,85.14,7.62,77.52,72.52,5.0
Netherlands,NLD,2021,121.05,0.25,120.8,44.18,3.83,29.34,18.04,11.3,11.01,0.09,10.92,0.0,76.62,14.6,62.02,56.69,5.33
Netherlands,NLD,2022,115.52,-4.27,119.79,52.09,4.16,38.06,21.4,16.66,9.87,0.05,9.82,0.0,67.7,14.8,52.9,47.74,5.16
Netherlands,NLD,2023,114.48,-5.66,120.14,61.01,3.99,49.31,29.7,19.61,7.71,0.07,7.64,0.0,59.13,8.71,50.42,46.09,4.33
Netherlands,NLD,2024,118.29,-4.22,122.51,65.82,3.57,55.48,33.66,21.82,6.77,0.09,6.68,0.0,56.69,7.47,49.22,44.29,4.93
Norway,NOR,2000,123.47,-19.05,142.52,142.11,0.0,0.03,0.03,0.0,142.08,141.82,0.26,0.0,0.41,0.04,0.37,0.21,0.16
Norway,NOR,2001,124.89,3.57,121.32,120.74,0.0,0.03,0.03,0.0,120.71,120.46,0.25,0.0,0.58,0.04,0.54,0.24,0.3
Norway,NOR,2002,120.53,-9.71,130.24,129.7,0.0,0.08,0.08,0.0,129.62,129.37,0.25,0.0,0.54,0.04,0.5,0.2,0.3
Norway,NOR,2003,114.54,7.87,106.67,106.03,0.0,0.22,0.22,0.0,105.81,105.48,0.33,0.0,0.64,0.04,0.6,0.3,0.3
Norway,NOR,2004,121.55,11.45,110.1,109.39,0.0,0.25,0.25,0.0,109.14,108.78,0.36,0.0,0.71,0.04,0.67,0.37,0.3
Norway,NOR,2005,125.21,-12.04,137.25,136.52,0.0,0.5,0.5,0.0,136.02,135.69,0.33,0.0,0.73,0.04,0.69,0.38,0.31
Norway,NOR,2006,122.07,0.85,121.22,120.4,0.0,0.64,0.64,0.0,119.76,119.37,0.39,0.0,0.82,0.04,0.78,0.47,0.31
Norway,NOR,2007,126.08,-10.03,136.11,134.94,0.0,0.89,0.89,0.0,134.05,133.66,0.39,0.0,1.17,0.04,1.13,0.76,0.37
Norway,NOR,2008,127.33,-13.86,141.19,140.35,0.0,0.91,0.91,0.0,139.44,139.04,0.4,0.0,0.84,0.04,0.8,0.44,0.36
Norway,NOR,2009,121.99,-8.98,130.97,126.48,0.0,0.97,0.97,0.0,125.51,125.28,0.23,0.0,4.49,0.04,4.45,4.23,0.22
Norway,NOR,2010,130.69,7.55,123.14,117.96,0.0,0.87,0.87,0.0,117.09,116.74,0.35,0.0,5.18,0.04,5.14,4.8,0.34
Norway,NOR,2011,122.85,-3.08,125.93,121.91,0.0,1.29,1.29,0.0,120.62,120.28,0.34,0.0,4.02,0.04,3.98,3.71,0.27
Norway,NOR,2012,128.36,-17.82,146.18,143.59,0.0,1.54,1.54,0.0,142.05,141.72,0.33,0.0,2.59,0.04,2.55,2.24,0.31
Norway,NOR,2013,128.13,-5.01,133.14,130.42,0.0,1.88,1.88,0.0,128.54,128.14,0.4,0.0,2.72,0.04,2.68,2.07,0.61
Norway,NOR,2014,125.3,-15.58,140.88,137.94,0.0,2.22,2.22,0.0,135.72,135.47,0.25,0.0,2.94,0.04,2.9,2.22,0.68
Norway,NOR,2015,128.35,-14.65,143.0,140.07,0.0,2.52,2.52,0.0,137.55,137.3,0.25,0.0,2.93,0.04,2.89,2.2,0.69
Norway,NOR,2016,131.62,-16.41,148.03,145.15,0.0,2.11,2.11,0.0,143.04,142.81,0.23,0.0,2.88,0.04,2.84,2.21,0.63
Norway,NOR,2017,133.11,-15.16,148.27,145.48,0.0,2.85,2.85,0.0,142.63,142.37,0.26,0.0,2.79,0.04,2.75,2.06,0.69
Norway,NOR,2018,135.79,-10.15,145.94,143.05,0.0,3.87,3.87,0.0,139.18,138.98,0.2,0.0,2.89,0.04,2.85,2.18,0.67
Norway,NOR,2019,133.87,0.04,133.83,131.07,0.0,5.53,5.52,0.01,125.54,125.29,0.25,0.0,2.76,0.04,2.72,2.06,0.66
Norway,NOR,2020,133.85,-20.47,154.32,152.03,0.0,9.99,9.91,0.08,142.04,141.8,0.24,0.0,2.29,0.04,2.25,1.61,0.64
Norway,NOR,2021,139.55,-17.58,157.13,156.06,0.0,11.87,11.76,0.11,144.19,143.97,0.22,0.0,1.07,0.04,1.03,0.31,0.72
Norway,NOR,2022,132.9,-12.52,145.42,143.45,0.0,14.97,14.8,0.17,128.48,128.24,0.24,0.0,1.97,0.04,1.93,1.15,0.78
Norway,NOR,2023,135.79,-17.74,153.53,151.18,0.0,14.22,13.86,0.36,136.96,136.71,0.25,0.0,2.35,0.03,2.32,1.53,0.79
Norway,NOR,2024,137.68,-18.44,156.12,153.61,0.0,14.86,14.5,0.36,138.75,138.5,0.25,0.0,2.51,0.03,2.48,1.7,0.78
Poland,POL,2000,136.81,-6.37,143.18,2.33,0.0,0.0,0.0,0.0,2.33,2.11,0.22,0.0,140.85,135.89,4.96,0.93,4.03
Poland,POL,2001,136.99,-6.73,143.72,2.78,0.0,0.01,0.01,0.0,2.77,2.33,0.44,0.0,140.94,134.97,5.97,1.36,4.61
Poland,POL,2002,135.42,-7.07,142.49,2.77,0.0,0.06,0.06,0.0,2.71,2.28,0.43,0.0,139.72,132.94,6.78,2.2,4.58
Poland,POL,2003,139.85,-10.16,150.01,2.25,0.0,0.12,0.12,0.0,2.13,1.67,0.46,0.0,147.76,140.66,7.1,2.42,4.68
Poland,POL,2004,143.25,-9.29,152.54,3.2,0.0,0.14,0.14,0.0,3.06,2.08,0.98,0.0,149.34,141.12,8.22,3.22,5.0
Poland,POL,2005,144.1,-11.19,155.29,3.85,0.0,0.14,0.14,0.0,3.71,2.2,1.51,0.0,151.44,141.88,9.56,5.16,4.4
Poland,POL,2006,149.71,-10.99,160.7,4.29,0.0,0.26,0.26,0.0,4.03,2.04,1.99,0.0,156.41,147.01,9.4,4.58,4.82
Poland,POL,2007,153.17,-5.35,158.52,5.43,0.0,0.52,0.52,0.0,4.91,2.35,2.56,0.0,153.09,144.01,9.08,4.48,4.6
Poland,POL,2008,153.83,-0.67,154.5,6.61,0.0,0.84,0.84,0.0,5.77,2.15,3.62,0.0,147.89,138.89,9.0,4.68,4.32
Poland,POL,2009,148.67,-2.19,150.86,8.69,0.0,1.08,1.08,0.0,7.61,2.38,5.23,0.0,142.17,133.38,8.79,4.79,4.0
Poland,POL,2010,155.42,-1.35,156.77,10.88,0.0,1.66,1.66,0.0,9.22,2.92,6.3,0.0,145.89,136.51,9.38,4.8,4.58
Poland,POL,2011,157.63,-5.24,162.87,13.13,0.0,3.2,3.2,0.0,9.93,2.33,7.6,0.0,149.74,139.76,9.98,5.82,4.16
Poland,POL,2012,158.64,-2.84,161.48,16.88,0.0,4.75,4.75,0.0,12.13,2.04,10.09,0.0,144.6,134.57,10.03,6.26,3.77
Poland,POL,2013,159.26,-4.52,163.78,17.06,0.0,6.0,6.0,0.0,11.06,2.44,8.62,0.0,146.72,137.72,9.0,5.27,3.73
Poland,POL,2014,160.52,2.17,158.35,19.85,0.0,7.69,7.68,0.01,12.16,2.18,9.98,0.0,138.5,129.52,8.98,5.33,3.65
Poland,POL,2015,163.97,-0.33,164.3,22.69,0.0,10.92,10.86,0.06,11.77,1.83,9.94,0.0,141.61,130.52,11.09,6.39,4.7
Poland,POL,2016,168.0,2.0,166.0,22.81,0.0,12.71,12.59,0.12,10.1,2.14,7.96,0.0,143.19,130.32,12.87,7.83,5.04
Poland,POL,2017,172.2,2.29,169.91,24.13,0.0,15.08,14.91,0.17,9.05,2.56,6.49,0.0,145.78,131.16,14.62,10.03,4.59
Poland,POL,2018,175.12,5.69,169.43,21.62,0.0,13.1,12.8,0.3,8.52,1.97,6.55,0.0,147.81,130.56,17.25,12.63,4.62
Poland,POL,2019,173.84,10.62,163.22,25.46,0.0,15.82,15.11,0.71,9.64,1.96,7.68,0.0,137.76,118.14,19.62,14.8,4.82
Poland,POL,2020,170.42,13.27,157.15,28.23,0.0,17.76,15.8,1.96,10.47,2.12,8.35,0.0,128.92,107.4,21.52,17.29,4.23
Poland,POL,2021,179.68,0.89,178.79,30.56,0.0,20.16,16.23,3.93,10.4,2.34,8.06,0.0,148.23,127.57,20.66,15.82,4.84
Poland,POL,2022,176.92,-1.68,178.6,37.69,0.0,28.09,19.78,8.31,9.6,1.97,7.63,0.0,140.91,124.73,16.18,11.36,4.82
Poland,POL,2023,168.19,3.74,164.45,44.79,0.0,34.22,23.11,11.11,10.57,2.41,8.16,0.0,119.66,98.85,20.81,16.49,4.32
Poland,POL,2024,173.02,1.97,171.05,52.54,0.0,42.48,24.82,17.66,10.06,2.11,7.95,0.0,118.51,93.5,25.01,20.46,4.55
Portugal,PRT,2000,44.14,0.93,43.21,12.87,0.0,0.17,0.17,0.0,12.7,11.32,1.3,0.08,30.34,14.6,15.74,7.14,8.6
Portugal,PRT,2001,46.3,0.24,46.06,15.74,0.0,0.26,0.26,0.0,15.48,14.03,1.35,0.1,30.32,13.61,16.71,7.21,9.5
Portugal,PRT,2002,47.45,1.9,45.55,9.73,0.0,0.36,0.36,0.0,9.37,7.8,1.47,0.1,35.82,15.21,20.61,9.04,11.57
Portugal,PRT,2003,49.18,2.79,46.39,17.7,0.0,0.5,0.5,0.0,17.2,15.72,1.39,0.09,28.69,14.53,14.16,7.74,6.42
Portugal,PRT,2004,51.16,6.48,44.68,12.31,0.0,0.82,0.82,0.0,11.49,9.87,1.54,0.08,32.37,14.86,17.51,11.69,5.82
Portugal,PRT,2005,52.83,6.82,46.01,8.25,0.0,1.77,1.77,0.0,6.48,4.73,1.68,0.07,37.76,15.23,22.53,13.61,8.92
Portugal,PRT,2006,53.84,5.44,48.4,15.72,0.0,2.93,2.93,0.0,12.79,11.0,1.7,0.09,32.68,14.96,17.72,12.34,5.38
Portugal,PRT,2007,54.2,7.49,46.71,16.21,0.0,4.06,4.04,0.02,12.15,10.09,1.86,0.2,30.5,12.4,18.1,13.12,4.98
Portugal,PRT,2008,54.77,9.43,45.34,14.64,0.0,5.8,5.76,0.04,8.84,6.8,1.85,0.19,30.7,11.2,19.5,15.2,4.3
Portugal,PRT,2009,54.16,4.78,49.38,18.29,0.0,7.74,7.58,0.16,10.55,8.28,2.09,0.18,31.09,12.9,18.19,14.71,3.48
Portugal,PRT,2010,56.1,2.62,53.48,28.35,0.0,9.39,9.18,0.21,18.96,16.15,2.61,0.2,25.13,7.1,18.03,14.9,3.13
Portugal,PRT,2011,54.59,2.81,51.78,24.11,0.0,9.44,9.16,0.28,14.67,11.54,2.92,0.21,27.67,9.85,17.82,14.92,2.9
Portugal,PRT,2012,53.33,7.89,45.44,19.37,0.0,10.65,10.26,0.39,8.72,5.62,2.95,0.15,26.07,13.09,12.98,10.67,2.31
Portugal,PRT,2013,53.13,2.78,50.35,29.47,0.0,12.49,12.01,0.48,16.98,13.73,3.05,0.2,20.88,11.84,9.04,7.23,1.81
Portugal,PRT,2014,52.7,0.9,51.8,31.57,0.0,12.74,12.11,0.63,18.83,15.57,3.05,0.21,20.23,11.95,8.28,6.83,1.45
Portugal,PRT,2015,53.41,2.27,51.14,24.36,0.0,12.4,11.6,0.8,11.96,8.66,3.1,0.2,26.78,14.73,12.05,10.56,1.49
Portugal,PRT,2016,53.96,-5.09,59.05,32.3,0.0,13.34,12.47,0.87,18.96,15.72,3.07,0.17,26.75,12.63,14.12,12.58,1.54
Portugal,PRT,2017,54.91,-2.68,57.59,22.58,0.0,13.24,12.25,0.99,9.34,5.9,3.22,0.22,35.01,14.67,20.34,18.89,1.45
Portugal,PRT,2018,55.69,-2.66,58.35,29.41,0.0,13.63,12.62,1.01,15.78,12.39,3.16,0.23,28.94,12.01,16.93,15.61,1.32
Portugal,PRT,2019,55.0,3.4,51.6,27.41,0.0,15.01,13.67,1.34,12.4,8.82,3.36,0.22,24.19,5.53,18.66,17.26,1.4
Portugal,PRT,2020,52.85,1.46,51.39,30.11,0.0,14.02,12.3,1.72,16.09,12.08,3.79,0.22,21.28,2.36,18.92,17.6,1.32
Portugal,PRT,2021,53.97,4.75,49.22,31.54,0.0,15.45,13.21,2.24,16.09,11.91,4.0,0.18,17.68,0.8,16.88,15.57,1.31
Portugal,PRT,2022,55.58,9.25,46.33,27.61,0.0,16.77,13.25,3.52,10.84,6.54,4.11,0.19,18.72,0.0,18.72,17.39,1.33
Portugal,PRT,2023,56.42,10.23,46.19,34.41,0.0,18.36,13.2,5.16,16.05,12.04,3.8,0.21,11.78,0.0,11.78,10.42,1.36
Portugal,PRT,2024,57.78,10.46,47.32,40.32,0.0,21.48,14.39,7.09,18.84,14.89,3.75,0.2,7.0,0.0,7.0,5.63,1.37
Romania,ROU,2000,50.86,-0.7,51.56,20.24,5.46,0.0,0.0,0.0,14.78,14.78,0.0,0.0,31.32,18.92,12.4,9.0,3.4
Romania,ROU,2001,52.24,-1.31,53.55,20.37,5.45,0.0,0.0,0.0,14.92,14.92,0.0,0.0,33.18,19.7,13.48,8.07,5.41
Romania,ROU,2002,51.57,-2.85,54.42,21.56,5.51,0.0,0.0,0.0,16.05,16.05,0.0,0.0,32.86,20.31,12.55,8.97,3.58
Romania,ROU,2003,52.76,-2.08,54.84,18.17,4.91,0.0,0.0,0.0,13.26,13.26,0.0,0.0,36.67,23.34,13.33,9.7,3.63
Romania,ROU,2004,55.29,-1.18,56.47,22.06,5.55,0.0,0.0,0.0,16.51,16.51,0.0,0.0,34.41,21.48,12.93,10.46,2.47
Romania,ROU,2005,56.43,-2.9,59.33,25.77,5.55,0.0,0.0,0.0,20.22,20.21,0.01,0.0,33.56,21.91,11.65,9.61,2.04
Romania,ROU,2006,58.29,-4.27,62.56,23.99,5.63,0.0,0.0,0.0,18.36,18.36,0.0,0.0,38.57,25.15,13.42,11.83,1.59
Romania,ROU,2007,59.47,-2.09,61.56,23.72,7.71,0.0,0.0,0.0,16.01,15.97,0.04,0.0,37.84,25.1,12.74,11.56,1.18
Romania,ROU,2008,60.61,-4.25,64.86,28.45,11.23,0.0,0.0,0.0,17.22,17.2,0.02,0.0,36.41,25.82,10.59,9.92,0.67
Romania,ROU,2009,55.29,-2.3,57.59,27.3,11.75,0.01,0.01,0.0,15.54,15.53,0.01,0.0,30.29,21.74,8.55,7.63,0.92
Romania,ROU,2010,58.15,-2.27,60.42,31.92,11.62,0.31,0.31,0.0,19.99,19.88,0.11,0.0,28.5,20.68,7.82,7.26,0.56
Romania,ROU,2011,59.89,-1.91,61.8,28.07,11.75,1.39,1.39,0.0,14.93,14.73,0.2,0.0,33.73,24.78,8.95,8.36,0.59
Romania,ROU,2012,58.79,0.25,58.54,26.4,11.47,2.65,2.64,0.01,12.28,12.07,0.21,0.0,32.14,22.9,9.24,8.72,0.52
Romania,ROU,2013,56.17,-2.02,58.19,31.77,11.62,4.94,4.52,0.42,15.21,14.96,0.25,0.0,26.42,16.94,9.48,9.26,0.22
Romania,ROU,2014,57.79,-7.13,64.92,38.8,11.68,7.82,6.2,1.62,19.3,18.8,0.5,0.0,26.12,17.76,8.36,8.1,0.26
Romania,ROU,2015,58.93,-6.73,65.66,37.83,11.64,9.04,7.06,1.98,17.15,16.63,0.52,0.0,27.83,18.13,9.7,9.39,0.31
Romania,ROU,2016,59.2,-5.02,64.22,38.26,11.29,8.41,6.59,1.82,18.56,18.03,0.53,0.0,25.96,15.88,10.08,9.65,0.43
Romania,ROU,2017,60.65,-2.89,63.54,35.8,11.51,9.27,7.41,1.86,15.02,14.49,0.53,0.0,27.74,16.78,10.96,10.66,0.3
Romania,ROU,2018,61.53,-2.54,64.07,37.57,11.38,8.09,6.32,1.77,18.1,17.66,0.44,0.0,26.5,15.65,10.85,10.52,0.33
Romania,ROU,2019,60.28,1.52,58.76,35.91,11.28,8.55,6.77,1.78,16.08,15.58,0.5,0.0,22.85,13.61,9.24,8.95,0.29
Romania,ROU,2020,58.0,2.79,55.21,36.08,11.47,8.68,6.95,1.73,15.93,15.38,0.55,0.0,19.13,9.36,9.77,9.46,0.31
Romania,ROU,2021,60.76,2.2,58.56,37.62,11.28,8.28,6.58,1.7,18.06,17.41,0.65,0.0,20.94,10.69,10.25,9.91,0.34
Romania,ROU,2022,55.96,1.22,54.74,34.71,11.09,8.99,7.0,1.99,14.63,13.98,0.65,0.0,20.03,10.37,9.66,9.33,0.33
Romania,ROU,2023,53.93,-3.02,56.95,39.55,11.19,9.78,7.55,2.23,18.58,18.14,0.44,0.0,17.4,8.06,9.34,9.15,0.19
Romania,ROU,2024,55.68,2.96,52.72,35.43,10.91,9.85,6.43,3.42,14.67,14.19,0.48,0.0,17.29,7.08,10.21,10.03,0.18
Serbia,SRB,2000,34.96,3.01,31.95,9.82,0.0,0.0,0.0,0.0,9.82,9.82,0.0,0.0,22.13,21.43,0.7,0.39,0.31
Serbia,SRB,2001,36.61,4.04,32.57,9.89,0.0,0.0,0.0,0.0,9.89,9.89,0.0,0.0,22.68,21.86,0.82,0.5,0.32
Serbia,SRB,2002,37.72,4.48,33.24,9.93,0.0,0.0,0.0,0.0,9.93,9.93,0.0,0.0,23.31,22.56,0.75,0.5,0.25
Serbia,SRB,2003,37.05,2.79,34.26,8.74,0.0,0.0,0.0,0.0,8.74,8.74,0.0,0.0,25.52,24.71,0.81,0.54,0.27
Serbia,SRB,2004,36.92,-0.27,37.19,10.62,0.0,0.0,0.0,0.0,10.62,10.62,0.0,0.0,26.57,25.74,0.83,0.68,0.15
Serbia,SRB,2005,33.92,-1.94,35.86,11.41,0.0,0.0,0.0,0.0,11.41,11.41,0.0,0.0,24.45,23.38,1.07,0.32,0.75
Serbia,SRB,2006,35.06,-0.81,35.87,10.35,0.0,0.0,0.0,0.0,10.35,10.35,0.0,0.0,25.52,25.02,0.5,0.12,0.38
Serbia,SRB,2007,35.88,-0.09,35.97,9.46,0.0,0.0,0.0,0.0,9.46,9.46,0.0,0.0,26.51,25.57,0.94,0.43,0.51
Serbia,SRB,2008,36.89,0.07,36.82,9.56,0.0,0.0,0.0,0.0,9.56,9.56,0.0,0.0,27.26,26.68,0.58,0.41,0.17
Serbia,SRB,2009,36.28,-1.43,37.71,10.54,0.0,0.0,0.0,0.0,10.54,10.54,0.0,0.0,27.17,26.85,0.32,0.17,0.15
Serbia,SRB,2010,37.12,-0.3,37.42,11.89,0.0,0.0,0.0,0.0,11.89,11.89,0.0,0.0,25.53,25.02,0.51,0.33,0.18
Serbia,SRB,2011,37.74,-0.28,38.02,8.67,0.0,0.0,0.0,0.0,8.67,8.67,0.0,0.0,29.35,28.71,0.64,0.5,0.14
Serbia,SRB,2012,36.58,0.39,36.19,9.3,0.0,0.0,0.0,0.0,9.3,9.29,0.01,0.0,26.89,26.32,0.57,0.48,0.09
Serbia,SRB,2013,36.69,-2.54,39.23,10.22,0.0,0.0,0.0,0.0,10.22,10.2,0.02,0.0,29.01,28.67,0.34,0.3,0.04
Serbia,SRB,2014,35.0,1.56,33.44,11.03,0.0,0.01,0.0,0.01,11.02,11.0,0.02,0.0,22.41,22.13,0.28,0.23,0.05
Serbia,SRB,2015,36.67,-0.92,37.59,10.11,0.0,0.01,0.0,0.01,10.1,10.08,0.02,0.0,27.48,27.16,0.32,0.22,0.1
Serbia,SRB,2016,36.69,-1.92,38.61,10.86,0.0,0.04,0.03,0.01,10.82,10.79,0.03,0.0,27.75,27.24,0.51,0.38,0.13
Serbia,SRB,2017,37.27,0.83,36.44,9.29,0.0,0.06,0.05,0.01,9.23,9.15,0.08,0.0,27.15,26.46,0.69,0.55,0.14
Serbia,SRB,2018,36.79,0.12,36.67,10.9,0.0,0.16,0.15,0.01,10.74,10.64,0.1,0.0,25.77,25.02,0.75,0.6,0.15
Serbia,SRB,2019,36.94,0.08,36.86,10.51,0.0,0.91,0.9,0.01,9.6,9.46,0.14,0.0,26.35,25.58,0.77,0.67,0.1
Serbia,SRB,2020,36.57,-0.61,37.18,10.16,0.0,0.99,0.98,0.01,9.17,8.98,0.19,0.0,27.02,26.46,0.56,0.51,0.05
Serbia,SRB,2021,38.11,0.65,37.46,12.55,0.0,1.09,1.08,0.01,11.46,11.21,0.25,0.0,24.91,23.77,1.14,1.07,0.07
Serbia,SRB,2022,37.59,2.75,34.84,9.82,0.0,0.97,0.95,0.02,8.85,8.6,0.25,0.0,25.02,23.49,1.53,1.45,0.08
Serbia,SRB,2023,36.98,-2.19,39.17,13.59,0.0,0.96,0.91,0.05,12.63,12.38,0.25,0.0,25.58,23.54,2.04,1.97,0.07
Serbia,SRB,2024,37.98,0.52,37.46,11.7,0.0,1.14,1.09,0.05,10.56,10.3,0.26,0.0,25.76,23.48,2.28,2.21,0.07
Slovakia,SVK,2000,28.08,-2.7,30.78,21.1,16.49,0.0,0.0,0.0,4.61,4.61,0.0,0.0,9.68,5.58,4.1,3.34,0.76
Slovakia,SVK,2001,28.14,-3.68,31.82,22.18,17.1,0.0,0.0,0.0,5.08,4.93,0.15,0.0,9.64,5.82,3.82,2.7,1.12
Slovakia,SVK,2002,28.02,-4.16,32.18,23.37,17.95,0.0,0.0,0.0,5.42,5.27,0.15,0.0,8.81,5.15,3.66,2.51,1.15
Slovakia,SVK,2003,28.72,-2.26,30.98,21.44,17.86,0.0,0.0,0.0,3.58,3.48,0.1,0.0,9.54,5.96,3.58,2.4,1.18
Slovakia,SVK,2004,28.6,-1.86,30.46,21.16,17.03,0.01,0.01,0.0,4.12,4.1,0.02,0.0,9.3,5.68,3.62,2.42,1.2
Slovakia,SVK,2005,28.07,-3.27,31.34,22.41,17.73,0.01,0.01,0.0,4.67,4.64,0.03,0.0,8.93,5.54,3.39,2.18,1.21
Slovakia,SVK,2006,28.92,-2.33,31.25,22.82,18.01,0.01,0.01,0.0,4.8,4.4,0.4,0.0,8.43,5.31,3.12,1.91,1.21
Slovakia,SVK,2007,29.58,1.73,27.85,20.26,15.33,0.01,0.01,0.0,4.92,4.45,0.47,0.0,7.59,4.8,2.79,1.62,1.17
Slovakia,SVK,2008,29.22,0.52,28.7,21.27,16.7,0.01,0.01,0.0,4.56,4.04,0.52,0.0,7.43,4.67,2.76,1.61,1.15
Slovakia,SVK,2009,27.24,1.31,25.93,19.0,14.08,0.01,0.01,0.0,4.91,4.37,0.54,0.0,6.93,3.86,3.07,1.97,1.1
Slovakia,SVK,2010,28.5,1.04,27.46,20.52,14.57,0.03,0.01,0.02,5.92,5.26,0.66,0.0,6.94,3.56,3.38,2.21,1.17
Slovakia,SVK,2011,29.01,0.73,28.28,20.41,15.41,0.4,0.0,0.4,4.6,3.78,0.82,0.0,7.87,3.55,4.32,3.15,1.17
Slovakia,SVK,2012,28.69,0.39,28.3,20.96,15.49,0.43,0.01,0.42,5.04,4.1,0.94,0.0,7.34,3.41,3.93,2.85,1.08
Slovakia,SVK,2013,28.59,0.09,28.5,22.08,15.72,0.6,0.01,0.59,5.76,4.85,0.91,0.0,6.42,3.07,3.35,2.39,0.96
Slovakia,SVK,2014,28.23,1.1,27.13,21.74,15.5,0.61,0.01,0.6,5.63,4.21,1.42,0.0,5.39,2.87,2.52,1.62,0.9
Slovakia,SVK,2015,29.01,2.39,26.62,21.2,15.15,0.52,0.01,0.51,5.53,3.87,1.66,0.0,5.42,2.83,2.59,1.6,0.99
Slovakia,SVK,2016,29.45,2.65,26.8,21.4,14.77,0.54,0.01,0.53,6.09,4.36,1.73,0.0,5.4,2.8,2.6,1.52,1.08
Slovakia,SVK,2017,30.45,3.03,27.42,21.62,15.08,0.52,0.01,0.51,6.02,4.32,1.7,0.0,5.8,2.99,2.81,1.67,1.14
Slovakia,SVK,2018,30.34,3.68,26.66,20.65,14.84,0.59,0.01,0.58,5.22,3.59,1.63,0.0,6.01,3.01,3.0,1.86,1.14
Slovakia,SVK,2019,29.91,1.7,28.21,21.93,15.28,0.6,0.01,0.59,6.05,4.36,1.69,0.0,6.28,2.34,3.94,3.07,0.87
Slovakia,SVK,2020,28.83,0.32,28.51,22.29,15.44,0.66,0.0,0.66,6.19,4.52,1.67,0.0,6.22,1.86,4.36,3.57,0.79
Slovakia,SVK,2021,30.47,0.77,29.7,22.5,15.73,0.67,0.0,0.67,6.1,4.26,1.84,0.0,7.2,1.7,5.5,4.37,1.13
