Area,ISO3 Code,Year,Demand,Net Imports,Total Generation,Clean,Nuclear,Wind and Solar,"Hydro, Bioenergy and Other Renewables",Fossil,Coal,Gas and Other Fossil,AvgPrice_EUR_MWh,MaxPrice_EUR_MWh,StdPrice_EUR_MWh
Norway,NOR,2021,139.55,-17.58,157.13,156.06,0.0,11.87,144.19,1.07,0.04,1.03,62.44166666666666,136.54,29.086100345926972
Norway,NOR,2022,132.9,-12.52,145.42,143.45,0.0,14.97,128.48,1.97,0.04,1.93,138.8025,245.94,59.54339717993316
Norway,NOR,2023,135.79,-17.74,153.53,151.18,0.0,14.22,136.96,2.35,0.03,2.32,59.093333333333334,97.32,26.08297680073881
Norway,NOR,2024,137.68,-18.44,156.12,153.61,0.0,14.86,138.75,2.51,0.03,2.48,38.665,69.57,15.531283093983395
Poland,POL,2015,163.97,-0.33,164.3,22.69,0.0,10.92,11.77,141.61,130.52,11.09,37.214166666666664,42.33,3.010576683909077
Poland,POL,2016,168.0,2.0,166.0,22.81,0.0,12.71,10.1,143.19,130.32,12.87,35.93,45.28,3.423947748114475
Poland,POL,2017,172.2,2.29,169.91,24.13,0.0,15.08,9.05,145.78,131.16,14.62,36.747499999999995,40.04,2.217136256935549
Poland,POL,2018,175.12,5.69,169.43,21.62,0.0,13.1,8.52,147.81,130.56,17.25,52.137499999999996,63.12,7.338688420097474
Poland,POL,2019,173.84,10.62,163.22,25.46,0.0,15.82,9.64,137.76,118.14,19.62,53.44,61.6,4.944434888198686
Poland,POL,2020,170.42,13.27,157.15,28.23,0.0,17.76,10.47,128.92,107.4,21.52,46.6325,56.65,7.6672694262394
Poland,POL,2021,179.68,0.89,178.79,30.56,0.0,20.16,10.4,148.23,127.57,20.66,86.82833333333333,179.38,35.59041618529382
Poland,POL,2022,176.92,-1.68,178.6,37.69,0.0,28.09,9.6,140.91,124.73,16.18,166.2825,268.88,43.656336648251354
Poland,POL,2023,168.19,3.74,164.45,44.79,0.0,34.22,10.57,119.66,98.85,20.81,111.86500000000001,136.85,15.997038646404075
Poland,POL,2024,173.02,1.97,171.05,52.54,0.0,42.48,10.06,118.51,93.5,25.01,96.18916666666667,120.78,14.432167013202484
Portugal,PRT,2015,53.41,2.27,51.14,24.36,0.0,12.4,11.96,26.78,14.73,12.05,50.41083333333333,59.59,5.288019836184316
Portugal,PRT,2016,53.96,-5.09,59.05,32.3,0.0,13.34,18.96,26.75,12.63,14.12,39.384166666666665,60.27,12.344427125654962
Portugal,PRT,2017,54.91,-2.68,57.59,22.58,0.0,13.24,9.34,35.01,14.67,20.34,52.446666666666665,71.54,8.022575344084666
Portugal,PRT,2018,55.69,-2.66,58.35,29.41,0.0,13.63,15.78,28.94,12.01,16.93,57.4475,71.28,9.240947536028779
Portugal,PRT,2019,55.0,3.4,51.6,27.41,0.0,15.01,12.4,24.19,5.53,18.66,47.895833333333336,62.66,7.169992339711051
Portugal,PRT,2020,52.85,1.46,51.39,30.11,0.0,14.02,16.09,21.28,2.36,18.92,33.98833333333334,42.11,8.130415211731286
Portugal,PRT,2021,53.97,4.75,49.22,31.54,0.0,15.45,16.09,17.68,0.8,16.88,111.48166666666667,239.07,68.80424945033731
Portugal,PRT,2022,55.58,9.25,46.33,27.61,0.0,16.77,10.84,18.72,0.0,18.72,167.9975,283.09,49.916964710497865
Portugal,PRT,2023,56.42,10.23,46.19,34.41,0.0,18.36,16.05,11.78,0.0,11.78,88.61500000000001,134.25,19.19547650311964
Portugal,PRT,2024,57.78,10.46,47.32,40.32,0.0,21.48,18.84,7.0,0.0,7.0,63.3225,111.55,32.014944841149074
Romania,ROU,2015,58.93,-6.73,65.66,37.83,11.64,9.04,17.15,27.83,18.13,9.7,36.37166666666666,41.91,5.360684883878403
Romania,ROU,2016,59.2,-5.02,64.22,38.26,11.29,8.41,18.56,25.96,15.88,10.08,33.12916666666667,43.09,6.175209173245338
Romania,ROU,2017,60.65,-2.89,63.54,35.8,11.51,9.27,15.02,27.74,16.78,10.96,47.98333333333333,75.2,11.263192937684906
Romania,ROU,2018,61.53,-2.54,64.07,37.57,11.38,8.09,18.1,26.5,15.65,10.85,46.38666666666666,64.21,13.00324947733054
Romania,ROU,2019,60.28,1.52,58.76,35.91,11.28,8.55,16.08,22.85,13.61,9.24,50.350833333333334,74.92,11.340394780953563
Romania,ROU,2020,58.0,2.79,55.21,36.08,11.47,8.68,15.93,19.13,9.36,9.77,39.472500000000004,58.4,10.730766409128135
Romania,ROU,2021,60.76,2.2,58.56,37.62,11.28,8.28,18.06,20.94,10.69,10.25,111.03416666666665,230.14,66.30278596345067
Romania,ROU,2022,55.96,1.22,54.74,34.71,11.09,8.99,14.63,20.03,10.37,9.66,264.52,490.8,97.3877867086012
Romania,ROU,2023,53.93,-3.02,56.95,39.55,11.19,9.78,18.58,17.4,8.06,9.34,103.97833333333334,142.56,18.66968804011335
Romania,ROU,2024,55.68,2.96,52.72,35.43,10.91,9.85,14.67,17.29,7.08,10.21,103.40583333333332,168.04,34.99418535033117
Serbia,SRB,2016,36.69,-1.92,38.61,10.86,0.0,0.04,10.82,27.75,27.24,0.51,52.88,52.88,
Serbia,SRB,2017,37.27,0.83,36.44,9.29,0.0,0.06,9.23,27.15,26.46,0.69,51.04750000000001,82.92,12.801649840405874
Serbia,SRB,2018,36.79,0.12,36.67,10.9,0.0,0.16,10.74,25.77,25.02,0.75,50.10333333333333,64.5,13.26693246269449
Serbia,SRB,2019,36.94,0.08,36.86,10.51,0.0,0.91,9.6,26.35,25.58,0.77,50.46083333333333,75.97,10.895889515470197
Serbia,SRB,2020,36.57,-0.61,37.18,10.16,0.0,0.99,9.17,27.02,26.46,0.56,38.994166666666665,57.95,10.926458678017518
Serbia,SRB,2021,38.11,0.65,37.46,12.55,0.0,1.09,11.46,24.91,23.77,1.14,113.59666666666665,246.37,70.9070177746672
Serbia,SRB,2022,37.59,2.75,34.84,9.82,0.0,0.97,8.85,25.02,23.49,1.53,272.91833333333335,492.45,98.27146999588189
Serbia,SRB,2023,36.98,-2.19,39.17,13.59,0.0,0.96,12.63,25.58,23.54,2.04,103.76166666666667,145.42,19.427432260657206
Serbia,SRB,2024,37.98,0.52,37.46,11.7,0.0,1.14,10.56,25.76,23.48,2.28,101.72500000000001,159.98,31.95922245612368
Slovakia,SVK,2015,29.01,2.39,26.62,21.2,15.15,0.52,5.53,5.42,2.83,2.59,33.56666666666667,42.29,4.642123991398243
Slovakia,SVK,2016,29.45,2.65,26.8,21.4,14.77,0.54,6.09,5.4,2.8,2.6,31.5175,43.08,6.7583862046282235
Slovakia,SVK,2017,30.45,3.03,27.42,21.62,15.08,0.52,6.02,5.8,2.99,2.81,40.969166666666666,58.13,8.149230257384975
Slovakia,SVK,2018,30.34,3.68,26.66,20.65,14.84,0.59,5.22,6.01,3.01,3.0,48.44,61.8,11.489422803763311
Slovakia,SVK,2019,29.91,1.7,28.21,21.93,15.28,0.6,6.05,6.28,2.34,3.94,41.516666666666666,58.83,6.46605448523755
Slovakia,SVK,2020,28.83,0.32,28.51,22.29,15.44,0.66,6.19,6.22,1.86,4.36,33.98916666666667,51.56,10.536087300609303
Slovakia,SVK,2021,30.47,0.77,29.7,22.5,15.73,0.67,6.1,7.2,1.7,5.5,102.4525,231.95,59.5436962734855
Slovakia,SVK,2022,27.95,1.41,26.54,21.74,15.92,0.65,5.17,4.8,1.62,3.18,264.06666666666666,492.47,100.83240499447436
Slovakia,SVK,2023,26.11,-3.42,29.53,25.04,18.33,0.61,6.1,4.49,1.22,3.27,105.00333333333333,146.58,21.274882045750715
Slovakia,SVK,2024,26.56,-2.96,29.52,25.33,18.23,0.69,6.41,4.19,0.52,3.67,92.6325,145.57,27.453508510670446
Slovenia,SVN,2015,14.75,-0.05,14.8,10.0,5.65,0.28,4.07,4.8,4.38,0.42,41.40833333333333,54.02,6.470374210526189
Slovenia,SVN,2016,15.05,-1.18,16.23,10.78,5.72,0.28,4.78,5.45,5.01,0.44,35.56583333333334,49.58,8.033885574505181
Slovenia,SVN,2017,15.53,-0.52,16.05,10.73,6.29,0.29,4.15,5.32,4.82,0.5,49.51166666666666,76.81,11.29500439320075
Slovenia,SVN,2018,15.62,-0.5,16.12,11.0,5.78,0.26,4.96,5.12,4.62,0.5,51.119166666666665,64.13,11.589447753988292
Slovenia,SVN,2019,15.57,-0.32,15.89,10.86,5.82,0.31,4.73,5.03,4.48,0.55,48.725833333333334,68.77,8.852679572087794
Slovenia,SVN,2020,14.89,-2.0,16.89,11.93,6.35,0.38,5.2,4.96,4.36,0.6,37.54416666666667,54.52,10.576792311757881
Slovenia,SVN,2021,15.32,-0.27,15.59,11.15,5.71,0.46,4.98,4.44,3.85,0.59,114.6225,252.4,71.17673561762872
Slovenia,SVN,2022,14.81,1.45,13.36,9.68,5.61,0.66,3.41,3.68,3.13,0.55,273.69166666666666,494.38,97.96539656553443
Slovenia,SVN,2023,14.04,-1.51,15.55,11.9,5.6,0.99,5.31,3.65,3.14,0.51,104.63166666666666,146.65,21.745693756918786
Slovenia,SVN,2024,14.3,-2.41,16.71,12.71,5.84,1.28,5.59,4.0,3.5,0.5,91.28500000000001,137.97,25.36901313162826
Spain,ESP,2015,277.04,-0.13,277.17,154.28,57.2,63.18,33.9,122.89,51.37,71.52,50.26333333333333,59.53,5.268529781694894
Spain,ESP,2016,278.37,7.67,270.7,163.26,58.63,62.54,42.09,107.44,36.43,71.01,39.61333333333334,60.49,12.181425004962069
Spain,ESP,2017,281.55,9.17,272.38,145.97,58.04,63.53,24.4,126.41,45.13,81.28,52.21,71.51,7.995997862567363
Spain,ESP,2018,282.5,11.1,271.4,159.64,55.77,63.63,40.24,111.76,37.34,74.42,57.29583333333333,71.25,9.247093359865067
Spain,ESP,2019,277.38,6.86,270.52,159.34,58.35,70.75,30.24,111.18,12.86,98.32,47.705000000000005,61.96,6.934542653858427
Spain,ESP,2020,262.75,3.28,259.47,172.09,58.3,77.11,36.68,87.38,5.52,81.86,33.95916666666667,41.97,8.174947826726296
Spain,ESP,2021,271.6,0.85,270.75,182.31,56.56,89.16,36.59,88.44,4.86,83.58,111.40666666666668,238.97,68.7502007049412
Spain,ESP,2022,267.35,-19.8,287.15,181.5,58.59,98.5,24.41,105.65,7.86,97.79,167.62833333333333,283.19,49.91625729583743
Spain,ESP,2023,265.88,-13.96,279.84,201.38,56.87,113.6,30.91,78.46,3.62,74.84,87.44,133.49,19.02038189082247
Spain,ESP,2024,271.42,-10.23,281.65,216.32,54.51,121.22,40.59,65.33,2.58,62.75,62.910833333333336,111.25,31.719348112736647
Sweden,SWE,2015,139.4,-22.6,162.0,158.85,56.35,16.42,86.08,3.15,0.39,2.76,22.046666666666667,30.24,6.125041496458071
Sweden,SWE,2016,144.16,-11.73,155.89,152.23,63.1,15.62,73.51,3.66,0.26,3.4,29.214166666666667,41.0,6.480324708942703
Sweden,SWE,2017,145.24,-18.99,164.23,160.76,65.7,17.84,77.22,3.47,0.32,3.15,31.352500000000003,36.25,2.3945169374294197
Sweden,SWE,2018,146.14,-17.22,163.36,159.7,68.55,17.03,74.12,3.66,0.34,3.32,44.78333333333333,54.64,7.325395842029578
Sweden,SWE,2019,142.26,-26.16,168.42,165.07,66.13,20.53,78.41,3.35,0.21,3.14,38.564166666666665,54.34,6.978500045051793
Sweden,SWE,2020,138.78,-25.0,163.78,161.34,49.2,28.57,83.57,2.44,0.0,2.44,20.730833333333333,33.19,8.157354136921574
Sweden,SWE,2021,146.21,-25.57,171.78,168.72,52.97,28.78,86.97,3.06,0.0,3.06,64.22833333333334,156.77,33.71993390302304
Sweden,SWE,2022,139.83,-33.22,173.05,170.17,51.94,35.23,83.0,2.88,0.0,2.88,119.45333333333333,235.2,55.28998270825184
Sweden,SWE,2023,137.4,-28.49,165.89,163.56,48.47,37.2,77.89,2.33,0.0,2.33,51.83416666666667,80.98,20.83631072663704
Sweden,SWE,2024,138.55,-33.44,171.99,169.91,50.67,44.45,74.79,2.08,0.0,2.08,36.12166666666666,68.66,18.06421315667242
Switzerland,CHE,2015,65.04,-1.03,66.07,64.21,23.09,1.23,39.89,1.86,0.0,1.86,40.35583333333333,52.24,8.522457454314809
Switzerland,CHE,2016,65.02,3.92,61.1,58.96,21.15,1.44,36.37,2.14,0.0,2.14,37.85666666666666,60.7,13.647516812648197
Switzerland,CHE,2017,65.7,5.55,60.15,58.14,20.38,1.81,35.95,2.01,0.0,2.01,46.03,76.87,15.67399641560389
Switzerland,CHE,2018,64.7,-1.59,66.29,64.39,25.51,2.07,36.81,1.9,0.0,1.9,52.21,72.97,12.052338890326338
Switzerland,CHE,2019,64.31,-6.26,70.57,68.67,26.42,2.33,39.92,1.9,0.0,1.9,40.95166666666667,62.34,8.196530123204942
Switzerland,CHE,2020,62.93,-5.56,68.49,66.62,24.02,2.74,39.86,1.87,0.0,1.87,33.98833333333334,51.36,10.87506976640805
Switzerland,CHE,2021,65.5,2.41,63.09,61.37,19.36,2.98,39.03,1.72,0.0,1.72,114.56916666666666,282.14,78.59777876323956
Switzerland,CHE,2022,64.87,3.14,61.73,60.14,24.15,4.01,31.98,1.59,0.0,1.59,280.99583333333334,488.14,96.24970936988787
Switzerland,CHE,2023,61.07,-6.39,67.46,66.42,24.36,4.88,37.18,1.04,0.0,1.04,107.78583333333334,157.46,25.81974172757713
Switzerland,CHE,2024,62.28,-13.48,75.76,74.66,24.0,5.93,44.73,1.1,0.0,1.1,75.93916666666667,126.17,26.87185870295383
United Kingdom,GBR,2016,356.93,17.75,339.18,154.74,71.73,47.57,35.44,184.44,30.67,153.77,52.30285714285714,68.54,9.296454009075566
United Kingdom,GBR,2017,352.98,14.76,338.22,169.23,70.34,61.11,37.78,168.99,22.53,146.46,51.6975,62.09,6.236829213339388
United Kingdom,GBR,2018,352.87,19.11,333.76,175.2,65.06,69.58,40.56,158.56,16.83,141.73,64.77583333333332,74.41,6.076001164541949
United Kingdom,GBR,2019,348.36,21.17,327.19,175.92,56.18,76.26,43.48,151.27,6.92,144.35,48.9475,68.58,7.892290973993666
United Kingdom,GBR,2020,328.55,18.25,310.3,183.87,50.24,88.17,45.46,126.43,5.7,120.73,39.4625,60.69,10.478788206311227
United Kingdom,GBR,2021,332.64,24.74,307.9,168.59,46.1,77.06,45.43,139.31,6.79,132.52,136.745,288.48,76.39571947789649
United Kingdom,GBR,2022,320.28,-4.3,324.58,182.46,47.4,93.55,41.51,142.12,5.94,136.18,239.59666666666666,438.03,87.22514121860772
United Kingdom,GBR,2023,315.83,23.3,292.53,176.27,40.6,96.03,39.64,116.26,3.78,112.48,108.09500000000001,153.37,24.496391014336645
United Kingdom,GBR,2024,317.35,33.19,284.16,184.51,40.59,98.07,45.85,99.65,1.9,97.75,85.705,117.07,16.552458482599555
