Area,ISO3 Code,Year,Demand,Net Imports,Total Generation,Clean,Nuclear,Wind and Solar,"Hydro, Bioenergy and Other Renewables",Fossil,Coal,Gas and Other Fossil,AvgPrice_EUR_MWh,MaxPrice_EUR_MWh,StdPrice_EUR_MWh
Czechia,CZE,2020,69.95,-10.15,80.1,40.38,30.04,2.99,7.35,39.72,31.0,8.72,33.6,51.49,10.291326445118724
Czechia,CZE,2021,72.58,-11.08,83.66,41.37,30.73,2.85,7.79,42.29,34.18,8.11,100.37583333333333,228.59,57.45650963330809
Czechia,CZE,2022,70.2,-13.53,83.73,41.79,31.02,3.27,7.5,41.94,36.88,5.06,246.605,476.73,96.69932466625137
Czechia,CZE,2023,66.63,-9.18,75.81,41.56,30.41,3.6,7.55,34.25,29.94,4.31,101.08083333333333,139.25,19.453957979306058
Czechia,CZE,2024,66.16,-6.66,72.82,42.01,29.7,4.27,8.04,30.81,26.52,4.29,85.05916666666667,133.24,23.914126847509777
Denmark,DNK,2015,34.69,5.91,28.78,18.93,0.0,14.73,4.2,9.85,7.11,2.74,23.578333333333333,29.93,4.399972796059155
Denmark,DNK,2016,35.46,5.06,30.4,18.39,0.0,13.52,4.87,12.01,8.87,3.14,27.757499999999997,38.65,5.6533097707127595
Denmark,DNK,2017,35.46,4.56,30.9,21.8,0.0,15.53,6.27,9.1,6.21,2.89,30.848333333333333,35.5,2.435725888941652
Denmark,DNK,2018,35.43,5.22,30.21,20.75,0.0,14.85,5.9,9.46,6.57,2.89,44.865,56.16,8.211450431063817
Denmark,DNK,2019,35.18,5.81,29.37,23.07,0.0,17.11,5.96,6.3,3.31,2.99,39.04416666666666,50.88,4.811451223777279
Denmark,DNK,2020,35.46,6.88,28.58,23.45,0.0,17.51,5.94,5.13,3.06,2.07,26.245833333333334,38.84,7.9673041617639155
Denmark,DNK,2021,37.79,4.87,32.92,26.1,0.0,17.36,8.74,6.82,4.37,2.45,87.84249999999999,189.95,45.42673484454241
Denmark,DNK,2022,36.53,1.36,35.17,28.44,0.0,21.41,7.03,6.73,4.43,2.3,214.79583333333335,454.43,101.58510551689548
Denmark,DNK,2023,37.14,3.13,34.01,29.4,0.0,23.17,6.23,4.61,2.53,2.08,84.90666666666667,111.37,16.338002733912532
Denmark,DNK,2024,38.89,3.71,35.18,31.39,0.0,24.31,7.08,3.79,1.75,2.04,70.665,95.79,12.816170538531672
Estonia,EST,2015,9.23,-0.92,10.15,1.56,0.0,0.71,0.85,8.59,0.0,8.59,31.09166666666667,35.02,2.6624077733351013
Estonia,EST,2016,10.13,-2.04,12.17,1.59,0.0,0.6,0.99,10.58,0.0,10.58,33.071666666666665,40.86,4.183803909304923
Estonia,EST,2017,10.43,-2.73,13.16,1.86,0.0,0.73,1.13,11.3,0.02,11.28,33.218333333333334,37.26,2.2705619381887625
Estonia,EST,2018,10.47,-1.9,12.37,1.99,0.0,0.67,1.32,10.38,0.0,10.38,47.05916666666667,55.4,6.314982845054559
Estonia,EST,2019,9.77,2.16,7.61,2.14,0.0,0.76,1.38,5.47,0.0,5.47,45.85916666666666,55.79,4.7128787927498745
Estonia,EST,2020,9.72,3.64,6.08,2.97,0.0,1.09,1.88,3.11,0.0,3.11,33.678333333333335,45.5,7.586290066277256
Estonia,EST,2021,9.82,2.63,7.19,2.87,0.0,1.08,1.79,4.32,0.0,4.32,86.52666666666666,202.55,45.96044847738569
Estonia,EST,2022,9.95,1.01,8.94,2.86,0.0,1.27,1.59,6.08,0.0,6.08,191.97166666666666,360.7,73.76099324332898
Estonia,EST,2023,9.15,3.3,5.85,2.91,0.0,1.51,1.4,2.94,0.0,2.94,91.00999999999999,113.19,15.693958304797656
Estonia,EST,2024,9.1,2.9,6.2,3.45,0.0,2.02,1.43,2.75,0.0,2.75,87.1225,126.47,17.74846427415367
Finland,FIN,2015,84.95,16.34,68.61,53.78,23.25,2.34,28.19,14.83,5.12,9.71,29.676666666666666,33.81,3.6921300413750666
Finland,FIN,2016,87.7,18.95,68.75,53.61,23.2,3.09,27.32,15.14,6.97,8.17,32.43333333333333,41.01,4.848346172259219
Finland,FIN,2017,87.95,20.43,67.52,53.95,22.48,4.84,26.63,13.57,5.86,7.71,33.20666666666667,37.25,2.236223819231198
Finland,FIN,2018,90.17,19.94,70.23,54.93,22.79,5.93,26.21,15.3,5.79,9.51,46.77333333333333,55.5,6.059718465307431
Finland,FIN,2019,88.65,20.04,68.61,55.75,23.87,6.17,25.71,12.86,4.36,8.5,44.03583333333333,55.81,6.41130742351261
Finland,FIN,2020,84.34,15.1,69.24,59.22,23.29,8.48,27.45,10.02,2.44,7.58,28.005,40.57,7.757932597143274
Finland,FIN,2021,89.88,17.77,72.11,61.78,23.6,8.81,29.37,10.33,2.67,7.66,72.165,193.27,41.854978089936814
Finland,FIN,2022,84.69,12.52,72.17,64.0,25.34,12.41,26.25,8.17,3.44,4.73,153.47916666666666,261.53,64.91323460216068
Finland,FIN,2023,82.86,1.72,81.14,76.23,34.31,15.38,26.54,4.91,1.56,3.35,56.607499999999995,80.04,20.419278824857475
Finland,FIN,2024,85.35,3.18,82.17,78.33,32.6,21.04,24.69,3.84,0.83,3.01,45.62416666666667,106.16,23.75156701369534
